1766069262.6931543: X=2664, Y=1296
1766069264.1579745: X=1614, Y=1692
1766069266.8503745: X=2721, Y=1218
1766069267.3800476: X=2635, Y=1345
1766069268.9080412: X=1616, Y=1739
1766069271.1627052: X=2720, Y=1220
1766069271.6600366: X=2623, Y=1383
1766069273.6888769: X=2507, Y=759
1766069275.0186596: X=2517, Y=1195
1766069278.0396454: X=2598, Y=1238
1766069279.97244: X=2093, Y=387
1766069280.981105: X=3010, Y=1241
1766069282.3436832: X=2089, Y=374
1766069283.042337: X=3242, Y=1233
1766069285.0372806: X=2848, Y=1294
1766069285.922158: X=3343, Y=1286
1766069287.4903738: X=2507, Y=1169
1766069293.082493: X=2633, Y=1502
1766069318.4214306: X=541, Y=2139
1766069320.6616127: X=2928, Y=768
1766069321.849636: X=2390, Y=959
1766069321.9967852: X=2390, Y=959
1766069325.1234028: X=2357, Y=868
1766069325.28336: X=2357, Y=868
1766069329.4142692: X=844, Y=486
1766069331.3077638: X=1919, Y=1167
1766069332.6034462: X=728, Y=2141
1766069334.9469867: X=296, Y=458
1766069335.875393: X=2344, Y=855
1766069338.8683803: X=1278, Y=199
1766069339.7543695: X=999, Y=2153
1766069340.6333878: X=2326, Y=865
1766069342.0674863: X=1150, Y=658
1766069345.9333916: X=693, Y=2137
1766069347.4551494: X=308, Y=381
1766069348.9196599: X=1882, Y=583
1766069459.174426: X=3818, Y=2094
1766069461.7447164: X=3809, Y=2100
1766069462.958609: X=860, Y=2127
1766069463.353495: X=939, Y=2017
1766069489.500725: X=926, Y=2028
1766069519.3984785: X=1060, Y=1128
1766069531.2506845: X=1105, Y=1167
1766069595.8575027: X=1181, Y=1237
1766069625.2436094: X=610, Y=2110
1766069647.609645: X=829, Y=2105
1766069648.1555219: X=1029, Y=1988
1766069653.3042517: X=1065, Y=611
1766069655.0219786: X=1060, Y=570
1766069665.6527135: X=687, Y=2114
1766069666.928235: X=380, Y=970
1766069667.242645: X=468, Y=1215
1766069679.636636: X=3256, Y=40
1766069681.1234803: X=3140, Y=24
1766069683.436764: X=306, Y=333
1766069683.6019137: X=306, Y=333
1766069686.3236647: X=726, Y=933
1766069689.2192233: X=850, Y=670
1766069690.3352485: X=854, Y=477
1766069691.4033704: X=890, Y=670
1766069692.4689121: X=950, Y=483
1766069693.636841: X=1064, Y=484
1766069696.7744908: X=1272, Y=2125
1766069697.8783395: X=431, Y=55
1766069698.840683: X=1944, Y=1183
1766069700.543572: X=107, Y=43
1766069705.7076986: X=240, Y=617
1766069707.224897: X=559, Y=2128
1766069707.8714542: X=2472, Y=911
1766069708.1366522: X=2427, Y=939
1766069710.5601072: X=1231, Y=2118
1766069720.0437014: X=2857, Y=1510
1766069724.3072906: X=2859, Y=1505
1766069741.3888988: X=2338, Y=1052
1766069744.0780528: X=2218, Y=1271
1766069744.9083931: X=1001, Y=2158
1766069745.771291: X=2353, Y=866
1766069747.7079022: X=1142, Y=656
1766069750.1043613: X=684, Y=2149
1766069752.444748: X=957, Y=577
1766069754.3976955: X=1876, Y=577
1766069858.309891: X=1632, Y=2086
1766069956.8994043: X=1624, Y=2073
1766070167.386436: X=2167, Y=2114
1766070168.0931542: X=2171, Y=2109
1766070170.2550344: X=3808, Y=548
1766070171.8384392: X=3392, Y=582
1766070172.7574103: X=1794, Y=32
1766070173.303426: X=3839, Y=0
1766070174.700199: X=3839, Y=0
1766070176.2524796: X=2051, Y=288
1766070177.2154884: X=3839, Y=0
1766070178.3074315: X=3809, Y=1
1766070179.4189425: X=2118, Y=1231
1766070180.7554352: X=985, Y=2114
1766070181.3094964: X=3839, Y=0
1766070182.5764184: X=1913, Y=1083
1766070183.2595005: X=835, Y=2159
1766070183.7464995: X=3839, Y=0
1766070184.9928045: X=2179, Y=976
1766070186.8720973: X=2165, Y=962
1766070187.9706204: X=3118, Y=32
1766070190.7695107: X=419, Y=680
1766070192.1150432: X=124, Y=33
1766070192.7489355: X=105, Y=32
1766070193.879516: X=221, Y=535
1766070194.3884916: X=3839, Y=0
1766070195.1554286: X=1991, Y=1123
